-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12:03 - 12:18,17,11,28,9,7,1,0,7,3,0,1,16,10,1,1
12:18 - 12:33,10,12,22,8,2,0,0,8,4,0,0,16,6,0,0
12:33 - 12:48,13,7,20,10,3,0,0,4,3,0,0,14,6,0,0
12:48 - 13:03,12,3,15,8,4,0,0,1,2,0,0,9,6,0,0
13:03 - 13:18,10,12,22,3,7,0,0,11,1,0,0,14,8,0,0
13:18 - 13:33,7,12,19,4,3,0,0,4,8,0,0,8,11,0,0
13:33 - 13:48,10,12,22,9,1,0,0,11,0,1,0,20,1,1,0
13:48 - 14:03,13,12,25,8,5,0,0,10,2,0,0,18,7,0,0
14:03 - 14:18,21,12,33,15,5,0,1,7,5,0,0,22,10,0,1
14:18 - 14:33,12,8,20,5,7,0,0,7,0,1,0,12,7,1,0
14:33 - 14:48,8,4,12,2,5,0,1,1,3,0,0,3,8,0,1
14:48 - 15:03,11,13,24,7,4,0,0,9,4,0,0,16,8,0,0
15:03 - 15:18,13,8,21,8,5,0,0,7,1,0,0,15,6,0,0
15:18 - 15:33,20,6,26,13,7,0,0,2,4,0,0,15,11,0,0
